rank,maze_id,source_path,task_id,family,length_cluster,family_group,is_b,width,height,grid_area,topology,variant,comparison_cell,chain_pattern,source_category,distractor_type,is_beatable,optimal_steps,states_explored,path_signature,path_depth,path_key_stages,path_switch_stages,path_event_ids,option_count,distractor_count,five_option,inactive_switches,unmatched_keys,object_count,n_keys,n_doors,n_switches,n_gates,known_length_risk,duplicate_task_id
11,D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,D2,26-39,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,30,336,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
12,D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1,D2,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,31,515,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
13,B1/10x10_dense_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/10x10_dense_swg_1.json,10x10_dense_swg_1,B1,26-39,B,True,10,10,100,dense,1,10x10:dense:1,single_white_switch_gate,,,True,36,159,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
14,D3/10x10_dense_sg_kr_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_sg_kr_deadend_ky_dy_1.json,10x10_dense_sg_kr_deadend_ky_dy_1,D3,40-59,D,False,10,10,100,dense,1,10x10:dense:1,switch_gate_then_key_door_deadend_yellow_key_door,M4,deadend_yellow_key_door,True,42,274,S->K,2,1,1,g1;DR,3,1,False,0,0,6,2,2,1,1,True,False
15,B1/10x10_dense_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/10x10_dense_swg_0.json,10x10_dense_swg_0,B1,40-59,B,True,10,10,100,dense,0,10x10:dense:0,single_white_switch_gate,,,True,43,176,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
16,B1/10x10_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/10x10_corridor_swg_1.json,10x10_corridor_swg_1,B1,40-59,B,True,10,10,100,corridor,1,10x10:corridor:1,single_white_switch_gate,,,True,44,165,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
17,M2/10x10_corridor_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/10x10_corridor_sg_1.json,10x10_corridor_sg_1,M2,40-59,M,False,10,10,100,corridor,1,10x10:corridor:1,single_switch_gate,,,True,44,165,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
18,M1/10x10_corridor_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/10x10_corridor_kr_1.json,10x10_corridor_kr_1,M1,40-59,M,False,10,10,100,corridor,1,10x10:corridor:1,single_key_door,,,True,45,189,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
19,D1/10x10_corridor_wrong_ky_kr_kb_0,ogbench/ogbench/procgen/maze_jsons/D1/10x10_corridor_wrong_ky_kr_kb_0.json,10x10_corridor_wrong_ky_kr_kb_0,D1,40-59,D,False,10,10,100,corridor,0,10x10:corridor:0,wrong_key_then_kk,,,True,46,477,K->K,2,2,0,DR;DB,3,1,False,0,1,5,3,2,0,0,False,False
20,D2/10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0.json,10x10_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,D2,40-59,D,False,10,10,100,corridor,0,10x10:corridor:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,47,821,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
21,M3/10x10_dense_kr_sg_0,ogbench/ogbench/procgen/maze_jsons/M3/10x10_dense_kr_sg_0.json,10x10_dense_kr_sg_0,M3,40-59,M,False,10,10,100,dense,0,10x10:dense:0,key_door_then_switch_gate,,,True,53,299,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
22,M4/10x10_dense_sg_kr_0,ogbench/ogbench/procgen/maze_jsons/M4/10x10_dense_sg_kr_0.json,10x10_dense_sg_kr_0,M4,40-59,M,False,10,10,100,dense,0,10x10:dense:0,switch_gate_then_key_door,,,True,53,306,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
23,D3/10x10_dense_kr_kb_deadend_ky_dy_0,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_kr_kb_deadend_ky_dy_0.json,10x10_dense_kr_kb_deadend_ky_dy_0,D3,40-59,D,False,10,10,100,dense,0,10x10:dense:0,kk_deadend_yellow_key_door,M5,deadend_yellow_key_door,True,54,350,K->K,2,2,0,DR;DB,3,1,False,0,0,6,3,3,0,0,True,False
24,M5/10x10_dense_kr_kb_0,ogbench/ogbench/procgen/maze_jsons/M5/10x10_dense_kr_kb_0.json,10x10_dense_kr_kb_0,M5,40-59,M,False,10,10,100,dense,0,10x10:dense:0,kk,,,True,54,350,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
25,D3/10x10_dense_kr_sg_kb_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_kr_sg_kb_deadend_ky_dy_1.json,10x10_dense_kr_sg_kb_deadend_ky_dy_1,D3,40-59,D,False,10,10,100,dense,1,10x10:dense:1,kr_sg_kb_deadend_yellow_key_door,M6,deadend_yellow_key_door,True,58,336,K->S->K,3,2,1,DR;g1;DB,4,1,False,0,0,8,3,3,1,1,True,False
26,M6/10x10_dense_kr_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/M6/10x10_dense_kr_sg_kb_1.json,10x10_dense_kr_sg_kb_1,M6,40-59,M,False,10,10,100,dense,1,10x10:dense:1,kr_sg_kb,,,True,58,336,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
27,D2/10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0.json,10x10_dense_wrong_ky_kr_inactive_sb_sg_kb_0,D2,60-79,D,False,10,10,100,dense,0,10x10:dense:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,61,962,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
28,B1/14x14_dense_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/14x14_dense_swg_1.json,14x14_dense_swg_1,B1,60-79,B,True,14,14,196,dense,1,14x14:dense:1,single_white_switch_gate,,,True,68,331,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
29,S5/14x14_corridor_0,ogbench/ogbench/procgen/maze_jsons/S5/14x14_corridor_0.json,14x14_corridor_0,S5,60-79,S,False,14,14,196,corridor,0,14x14:corridor:0,none,,,True,77,309,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
30,B1/14x14_dense_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/14x14_dense_swg_0.json,14x14_dense_swg_0,B1,60-79,B,True,14,14,196,dense,0,14x14:dense:0,single_white_switch_gate,,,True,79,416,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
31,M2/14x14_dense_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/14x14_dense_sg_0.json,14x14_dense_sg_0,M2,60-79,M,False,14,14,196,dense,0,14x14:dense:0,single_switch_gate,,,True,79,416,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
32,M1/14x14_dense_kr_0,ogbench/ogbench/procgen/maze_jsons/M1/14x14_dense_kr_0.json,14x14_dense_kr_0,M1,80+,M,False,14,14,196,dense,0,14x14:dense:0,single_key_door,,,True,80,536,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
33,D3/14x14_dense_sg_kr_deadend_ky_dy_0,ogbench/ogbench/procgen/maze_jsons/D3/14x14_dense_sg_kr_deadend_ky_dy_0.json,14x14_dense_sg_kr_deadend_ky_dy_0,D3,80+,D,False,14,14,196,dense,0,14x14:dense:0,switch_gate_then_key_door_deadend_yellow_key_door,M4,deadend_yellow_key_door,True,87,787,S->K,2,1,1,g1;DR,3,1,False,0,0,6,2,2,1,1,True,False
34,M3/14x14_dense_kr_sg_0,ogbench/ogbench/procgen/maze_jsons/M3/14x14_dense_kr_sg_0.json,14x14_dense_kr_sg_0,M3,80+,M,False,14,14,196,dense,0,14x14:dense:0,key_door_then_switch_gate,,,True,87,656,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
35,M4/14x14_dense_sg_kr_0,ogbench/ogbench/procgen/maze_jsons/M4/14x14_dense_sg_kr_0.json,14x14_dense_sg_kr_0,M4,80+,M,False,14,14,196,dense,0,14x14:dense:0,switch_gate_then_key_door,,,True,87,685,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
36,D2/14x14_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/14x14_corridor_wrong_ky_kr_inactive_sb_sg_kb_0.json,14x14_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,D2,80+,D,False,14,14,196,corridor,0,14x14:corridor:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,88,1282,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
37,M6/14x14_corridor_kr_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/M6/14x14_corridor_kr_sg_kb_0.json,14x14_corridor_kr_sg_kb_0,M6,80+,M,False,14,14,196,corridor,0,14x14:corridor:0,kr_sg_kb,,,True,88,796,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
38,S5/14x14_corridor_1,ogbench/ogbench/procgen/maze_jsons/S5/14x14_corridor_1.json,14x14_corridor_1,S5,80+,S,False,14,14,196,corridor,1,14x14:corridor:1,none,,,True,89,309,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
39,B1/14x14_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/14x14_corridor_swg_1.json,14x14_corridor_swg_1,B1,80+,B,True,14,14,196,corridor,1,14x14:corridor:1,single_white_switch_gate,,,True,90,401,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
40,M2/14x14_corridor_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/14x14_corridor_sg_1.json,14x14_corridor_sg_1,M2,80+,M,False,14,14,196,corridor,1,14x14:corridor:1,single_switch_gate,,,True,90,401,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
41,M1/14x14_corridor_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/14x14_corridor_kr_1.json,14x14_corridor_kr_1,M1,80+,M,False,14,14,196,corridor,1,14x14:corridor:1,single_key_door,,,True,91,493,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
42,D1/14x14_corridor_wrong_ky_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/14x14_corridor_wrong_ky_kr_sg_1.json,14x14_corridor_wrong_ky_kr_sg_1,D1,80+,D,False,14,14,196,corridor,1,14x14:corridor:1,wrong_key_then_key_door_then_switch_gate,,,True,92,1113,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
43,D2/14x14_corridor_wrong_ky_inactive_sb_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D2/14x14_corridor_wrong_ky_inactive_sb_sg_kr_1.json,14x14_corridor_wrong_ky_inactive_sb_sg_kr_1,D2,80+,D,False,14,14,196,corridor,1,14x14:corridor:1,wrong_key_then_switch_gate_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,92,2150,S->K,2,1,1,g1;DR,4,2,False,1,1,6,2,1,2,1,False,False
44,M3/14x14_corridor_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/M3/14x14_corridor_kr_sg_1.json,14x14_corridor_kr_sg_1,M3,80+,M,False,14,14,196,corridor,1,14x14:corridor:1,key_door_then_switch_gate,,,True,92,693,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
45,M4/14x14_corridor_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/M4/14x14_corridor_sg_kr_1.json,14x14_corridor_sg_kr_1,M4,80+,M,False,14,14,196,corridor,1,14x14:corridor:1,switch_gate_then_key_door,,,True,92,787,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
46,M5/14x14_corridor_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/14x14_corridor_kr_kb_1.json,14x14_corridor_kr_kb_1,M5,80+,M,False,14,14,196,corridor,1,14x14:corridor:1,kk,,,True,93,803,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
47,D2/14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0.json,14x14_dense_wrong_ky_kr_inactive_sb_sg_kb_0,D2,80+,D,False,14,14,196,dense,0,14x14:dense:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,95,2385,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
48,D1/14x14_dense_wrong_ky_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/14x14_dense_wrong_ky_kr_sg_1.json,14x14_dense_wrong_ky_kr_sg_1,D1,80+,D,False,14,14,196,dense,1,14x14:dense:1,wrong_key_then_key_door_then_switch_gate,,,True,96,925,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
49,M5/14x14_dense_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/14x14_dense_kr_kb_1.json,14x14_dense_kr_kb_1,M5,80+,M,False,14,14,196,dense,1,14x14:dense:1,kk,,,True,97,692,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
50,M6/14x14_dense_kr_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/M6/14x14_dense_kr_sg_kb_1.json,14x14_dense_kr_sg_kb_1,M6,80+,M,False,14,14,196,dense,1,14x14:dense:1,kr_sg_kb,,,True,106,794,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
