maze_id,source_path,task_id,family,family_group,is_b,width,height,grid_area,topology,variant,comparison_cell,chain_pattern,source_category,distractor_type,is_beatable,optimal_steps,states_explored,path_signature,path_depth,path_key_stages,path_switch_stages,path_event_ids,option_count,distractor_count,five_option,inactive_switches,unmatched_keys,object_count,n_keys,n_doors,n_switches,n_gates,known_length_risk,duplicate_task_id
D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_0,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_0.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_0,D2,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door_then_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,28,277,K->S,2,1,1,DR;g1,4,2,False,1,1,6,2,1,2,1,False,False
M1/8x8_corridor_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/8x8_corridor_kr_1.json,8x8_corridor_kr_1,M1,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,28,129,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
M3/8x8_corridor_kr_sg_0,ogbench/ogbench/procgen/maze_jsons/M3/8x8_corridor_kr_sg_0.json,8x8_corridor_kr_sg_0,M3,M,False,8,8,64,corridor,0,8x8:corridor:0,key_door_then_switch_gate,,,True,28,185,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
M4/8x8_corridor_sg_kr_0,ogbench/ogbench/procgen/maze_jsons/M4/8x8_corridor_sg_kr_0.json,8x8_corridor_sg_kr_0,M4,M,False,8,8,64,corridor,0,8x8:corridor:0,switch_gate_then_key_door,,,True,28,178,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
D1/8x8_corridor_wrong_ky_kr_kb_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_kb_0.json,8x8_corridor_wrong_ky_kr_kb_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_kk,,,True,29,264,K->K,2,2,0,DR;DB,3,1,False,0,1,5,3,2,0,0,False,False
D1/8x8_corridor_wrong_ky_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_1.json,8x8_corridor_wrong_ky_kr_sg_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door_then_switch_gate,,,True,29,256,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
D1/8x8_corridor_wrong_ky_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_sg_kr_1.json,8x8_corridor_wrong_ky_sg_kr_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_switch_gate_then_key_door,,,True,29,276,S->K,2,1,1,g1;DR,3,1,False,0,1,5,2,1,1,1,False,False
D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_1.json,8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,D2,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_switch_gate_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,29,533,S->K,2,1,1,g1;DR,4,2,False,1,1,6,2,1,2,1,False,False
D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_1.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_1,D2,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door_then_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,29,402,K->S,2,1,1,DR;g1,4,2,False,1,1,6,2,1,2,1,False,False
M3/8x8_corridor_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/M3/8x8_corridor_kr_sg_1.json,8x8_corridor_kr_sg_1,M3,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door_then_switch_gate,,,True,29,180,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
M4/8x8_corridor_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/M4/8x8_corridor_sg_kr_1.json,8x8_corridor_sg_kr_1,M4,M,False,8,8,64,corridor,1,8x8:corridor:1,switch_gate_then_key_door,,,True,29,200,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
M5/8x8_corridor_kr_kb_0,ogbench/ogbench/procgen/maze_jsons/M5/8x8_corridor_kr_kb_0.json,8x8_corridor_kr_kb_0,M5,M,False,8,8,64,corridor,0,8x8:corridor:0,kk,,,True,29,201,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
D1/8x8_corridor_wrong_ky_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_kb_1.json,8x8_corridor_wrong_ky_kr_kb_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_kk,,,True,30,284,K->K,2,2,0,DR;DB,3,1,False,0,1,5,3,2,0,0,False,False
D1/8x8_corridor_wrong_ky_kr_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_kb_0.json,8x8_corridor_wrong_ky_kr_sg_kb_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_kr_sg_kb,,,True,30,278,K->S->K,3,2,1,DR;g1;DB,4,1,False,0,1,7,3,2,1,1,False,False
D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_0,D2,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,30,336,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
D3/10x10_dense_deadend_ky_dy_0,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_deadend_ky_dy_0.json,10x10_dense_deadend_ky_dy_0,D3,D,False,10,10,100,dense,0,10x10:dense:0,none_deadend_yellow_key_door,S4,deadend_yellow_key_door,True,30,124,none,0,0,0,,1,1,False,0,0,2,1,1,0,0,True,False
M5/8x8_corridor_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/8x8_corridor_kr_kb_1.json,8x8_corridor_kr_kb_1,M5,M,False,8,8,64,corridor,1,8x8:corridor:1,kk,,,True,30,212,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
M6/8x8_corridor_kr_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/M6/8x8_corridor_kr_sg_kb_0.json,8x8_corridor_kr_sg_kb_0,M6,M,False,8,8,64,corridor,0,8x8:corridor:0,kr_sg_kb,,,True,30,213,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
S4/10x10_dense_0,ogbench/ogbench/procgen/maze_jsons/S4/10x10_dense_0.json,10x10_dense_0,S4,S,False,10,10,100,dense,0,10x10:dense:0,none,,,True,30,124,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
D1/8x8_corridor_wrong_ky_kr_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_kb_1.json,8x8_corridor_wrong_ky_kr_sg_kb_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_kr_sg_kb,,,True,31,309,K->S->K,3,2,1,DR;g1;DB,4,1,False,0,1,7,3,2,1,1,False,False
D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1.json,8x8_corridor_wrong_ky_kr_inactive_sb_sg_kb_1,D2,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_kr_sg_kb_inactive_blue_switch,,inactive_blue_switch,True,31,515,K->S->K,3,2,1,DR;g1;DB,5,2,True,1,1,8,3,2,2,1,False,False
M6/8x8_corridor_kr_sg_kb_1,ogbench/ogbench/procgen/maze_jsons/M6/8x8_corridor_kr_sg_kb_1.json,8x8_corridor_kr_sg_kb_1,M6,M,False,8,8,64,corridor,1,8x8:corridor:1,kr_sg_kb,,,True,31,212,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
B1/10x10_dense_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/10x10_dense_swg_1.json,10x10_dense_swg_1,B1,B,True,10,10,100,dense,1,10x10:dense:1,single_white_switch_gate,,,True,36,159,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/10x10_dense_wrong_ky_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_sg_1.json,10x10_dense_wrong_ky_sg_1,D1,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_switch_gate,,,True,36,312,S,1,0,1,g1,2,1,False,0,1,3,1,0,1,1,False,False
D2/10x10_dense_wrong_ky_inactive_sb_sg_1,ogbench/ogbench/procgen/maze_jsons/D2/10x10_dense_wrong_ky_inactive_sb_sg_1.json,10x10_dense_wrong_ky_inactive_sb_sg_1,D2,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_single_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,36,612,S,1,0,1,g1,3,2,False,1,1,4,1,0,2,1,False,False
D3/10x10_dense_sg_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_sg_deadend_ky_dy_1.json,10x10_dense_sg_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,single_switch_gate_deadend_yellow_key_door,M2,deadend_yellow_key_door,True,36,159,S,1,0,1,g1,2,1,False,0,0,4,1,1,1,1,True,False
D3/10x10_dense_swg_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_swg_deadend_ky_dy_1.json,10x10_dense_swg_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,single_white_switch_gate_deadend_yellow_key_door,B1,deadend_yellow_key_door,True,36,159,S,1,0,1,g1,2,1,False,0,0,4,1,1,1,1,True,False
M2/10x10_dense_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/10x10_dense_sg_1.json,10x10_dense_sg_1,M2,M,False,10,10,100,dense,1,10x10:dense:1,single_switch_gate,,,True,36,159,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/10x10_dense_wrong_ky_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_kr_1.json,10x10_dense_wrong_ky_kr_1,D1,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_single_key_door,,,True,37,348,K,1,1,0,DR,2,1,False,0,1,3,2,1,0,0,False,False
D3/10x10_dense_kr_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_kr_deadend_ky_dy_1.json,10x10_dense_kr_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,single_key_door_deadend_yellow_key_door,M1,deadend_yellow_key_door,True,37,195,K,1,1,0,DR,2,1,False,0,0,4,2,2,0,0,True,False
M1/10x10_dense_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/10x10_dense_kr_1.json,10x10_dense_kr_1,M1,M,False,10,10,100,dense,1,10x10:dense:1,single_key_door,,,True,37,195,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
D1/10x10_dense_wrong_ky_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_kr_sg_1.json,10x10_dense_wrong_ky_kr_sg_1,D1,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_key_door_then_switch_gate,,,True,42,465,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
D1/10x10_dense_wrong_ky_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_sg_kr_1.json,10x10_dense_wrong_ky_sg_kr_1,D1,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_switch_gate_then_key_door,,,True,42,391,S->K,2,1,1,g1;DR,3,1,False,0,1,5,2,1,1,1,False,False
D2/10x10_dense_wrong_ky_inactive_sb_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D2/10x10_dense_wrong_ky_inactive_sb_sg_kr_1.json,10x10_dense_wrong_ky_inactive_sb_sg_kr_1,D2,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_switch_gate_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,42,767,S->K,2,1,1,g1;DR,4,2,False,1,1,6,2,1,2,1,False,False
D2/10x10_dense_wrong_ky_kr_inactive_sb_sg_1,ogbench/ogbench/procgen/maze_jsons/D2/10x10_dense_wrong_ky_kr_inactive_sb_sg_1.json,10x10_dense_wrong_ky_kr_inactive_sb_sg_1,D2,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_key_door_then_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,42,780,K->S,2,1,1,DR;g1,4,2,False,1,1,6,2,1,2,1,False,False
D3/10x10_dense_kr_sg_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_kr_sg_deadend_ky_dy_1.json,10x10_dense_kr_sg_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,key_door_then_switch_gate_deadend_yellow_key_door,M3,deadend_yellow_key_door,True,42,255,K->S,2,1,1,DR;g1,3,1,False,0,0,6,2,2,1,1,True,False
D3/10x10_dense_sg_kr_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_sg_kr_deadend_ky_dy_1.json,10x10_dense_sg_kr_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,switch_gate_then_key_door_deadend_yellow_key_door,M4,deadend_yellow_key_door,True,42,274,S->K,2,1,1,g1;DR,3,1,False,0,0,6,2,2,1,1,True,False
M3/10x10_dense_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/M3/10x10_dense_kr_sg_1.json,10x10_dense_kr_sg_1,M3,M,False,10,10,100,dense,1,10x10:dense:1,key_door_then_switch_gate,,,True,42,255,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
M4/10x10_dense_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/M4/10x10_dense_sg_kr_1.json,10x10_dense_sg_kr_1,M4,M,False,10,10,100,dense,1,10x10:dense:1,switch_gate_then_key_door,,,True,42,274,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
S3/10x10_corridor_0,ogbench/ogbench/procgen/maze_jsons/S3/10x10_corridor_0.json,10x10_corridor_0,S3,S,False,10,10,100,corridor,0,10x10:corridor:0,none,,,True,42,141,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
B1/10x10_corridor_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/10x10_corridor_swg_0.json,10x10_corridor_swg_0,B1,B,True,10,10,100,corridor,0,10x10:corridor:0,single_white_switch_gate,,,True,43,185,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
B1/10x10_dense_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/10x10_dense_swg_0.json,10x10_dense_swg_0,B1,B,True,10,10,100,dense,0,10x10:dense:0,single_white_switch_gate,,,True,43,176,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/10x10_corridor_wrong_ky_sg_0,ogbench/ogbench/procgen/maze_jsons/D1/10x10_corridor_wrong_ky_sg_0.json,10x10_corridor_wrong_ky_sg_0,D1,D,False,10,10,100,corridor,0,10x10:corridor:0,wrong_key_then_single_switch_gate,,,True,43,368,S,1,0,1,g1,2,1,False,0,1,3,1,0,1,1,False,False
D1/10x10_dense_wrong_ky_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_kr_kb_1.json,10x10_dense_wrong_ky_kr_kb_1,D1,D,False,10,10,100,dense,1,10x10:dense:1,wrong_key_then_kk,,,True,43,422,K->K,2,2,0,DR;DB,3,1,False,0,1,5,3,2,0,0,False,False
D1/10x10_dense_wrong_ky_sg_0,ogbench/ogbench/procgen/maze_jsons/D1/10x10_dense_wrong_ky_sg_0.json,10x10_dense_wrong_ky_sg_0,D1,D,False,10,10,100,dense,0,10x10:dense:0,wrong_key_then_single_switch_gate,,,True,43,346,S,1,0,1,g1,2,1,False,0,1,3,1,0,1,1,False,False
D2/10x10_corridor_wrong_ky_inactive_sb_sg_0,ogbench/ogbench/procgen/maze_jsons/D2/10x10_corridor_wrong_ky_inactive_sb_sg_0.json,10x10_corridor_wrong_ky_inactive_sb_sg_0,D2,D,False,10,10,100,corridor,0,10x10:corridor:0,wrong_key_then_single_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,43,731,S,1,0,1,g1,3,2,False,1,1,4,1,0,2,1,False,False
D2/10x10_dense_wrong_ky_inactive_sb_sg_0,ogbench/ogbench/procgen/maze_jsons/D2/10x10_dense_wrong_ky_inactive_sb_sg_0.json,10x10_dense_wrong_ky_inactive_sb_sg_0,D2,D,False,10,10,100,dense,0,10x10:dense:0,wrong_key_then_single_switch_gate_inactive_blue_switch,,inactive_blue_switch,True,43,682,S,1,0,1,g1,3,2,False,1,1,4,1,0,2,1,False,False
D3/10x10_dense_kr_kb_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_kr_kb_deadend_ky_dy_1.json,10x10_dense_kr_kb_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,kk_deadend_yellow_key_door,M5,deadend_yellow_key_door,True,43,305,K->K,2,2,0,DR;DB,3,1,False,0,0,6,3,3,0,0,True,False
D3/10x10_dense_sg_deadend_ky_dy_0,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_sg_deadend_ky_dy_0.json,10x10_dense_sg_deadend_ky_dy_0,D3,D,False,10,10,100,dense,0,10x10:dense:0,single_switch_gate_deadend_yellow_key_door,M2,deadend_yellow_key_door,True,43,176,S,1,0,1,g1,2,1,False,0,0,4,1,1,1,1,True,False
D3/10x10_dense_swg_deadend_ky_dy_0,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_swg_deadend_ky_dy_0.json,10x10_dense_swg_deadend_ky_dy_0,D3,D,False,10,10,100,dense,0,10x10:dense:0,single_white_switch_gate_deadend_yellow_key_door,B1,deadend_yellow_key_door,True,43,176,S,1,0,1,g1,2,1,False,0,0,4,1,1,1,1,True,False
M2/10x10_corridor_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/10x10_corridor_sg_0.json,10x10_corridor_sg_0,M2,M,False,10,10,100,corridor,0,10x10:corridor:0,single_switch_gate,,,True,43,185,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
M2/10x10_dense_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/10x10_dense_sg_0.json,10x10_dense_sg_0,M2,M,False,10,10,100,dense,0,10x10:dense:0,single_switch_gate,,,True,43,176,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
M5/10x10_dense_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/10x10_dense_kr_kb_1.json,10x10_dense_kr_kb_1,M5,M,False,10,10,100,dense,1,10x10:dense:1,kk,,,True,43,305,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
S3/10x10_corridor_1,ogbench/ogbench/procgen/maze_jsons/S3/10x10_corridor_1.json,10x10_corridor_1,S3,S,False,10,10,100,corridor,1,10x10:corridor:1,none,,,True,43,141,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
B1/10x10_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/10x10_corridor_swg_1.json,10x10_corridor_swg_1,B1,B,True,10,10,100,corridor,1,10x10:corridor:1,single_white_switch_gate,,,True,44,165,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/10x10_corridor_wrong_ky_kr_0,ogbench/ogbench/procgen/maze_jsons/D1/10x10_corridor_wrong_ky_kr_0.json,10x10_corridor_wrong_ky_kr_0,D1,D,False,10,10,100,corridor,0,10x10:corridor:0,wrong_key_then_single_key_door,,,True,44,340,K,1,1,0,DR,2,1,False,0,1,3,2,1,0,0,False,False
